Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	À©Õ¹Ì××°Òþ²ØÊôÐÔ3	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	»ù´¡±ø¼×Öµ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ	ÌØÊâ×°±¸±êÊ¶£¨¿É¶¨ÒåµÀ¾ßÃû³ÆÑÕÉ«£¬ºóÐøÀ©Õ¹£©
Minh Ph­îng SÝ §Þa Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle31.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(4)	0	99999	10	0	30	135	135	31	80	80																36	10	39	7	46	1							960	918	979	1221	1338	1301	285	226	4	1689	1279		2	9					
Minh Ph­îng SÝ §Þa Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash31.spr	33	2	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(5)	2	99999	10	0	30	160	160	31	80	80																36	10	39	7	46	1							960	938	978	1181	1338	1301	285	226	5	1431	1279		2	9					
Minh Ph­îng SÝ §Þa Gi¸p Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth32.spr	23	2	3	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(6)	1	99999	10	0	30	720	720	31	90	90																36	10	39	7	46	1							960	858	978	1021	2724	3554	285	226	6	1431	2837		2	9					
Minh Ph­îng SÝ §Þa §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade31.spr	10	1	4	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	10	39	7	46	1							2719	898	1141	1201	1340	3554	285	226	7	1431	130		2	9					
Minh Ph­îng SÝ §Þa Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes35.spr	26	2	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(8)	4	99999	10	0	30	160	160	31	80	80																36	10	39	7	46	1							960	878	978	1021	1261	1301	285	226	8	1431	1279		2	9					
Minh Ph­îng SÝ §Þa Béi	0	9	1	\spr\item\equip\waist\obj-waist31.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(9)	0	99999	10	0																						36	10	39	7	46	1							959	918	979	1221	1338	1301	285	226	9	1690	1279		2	9					
Minh Ph­îng SÝ §Þa H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring30.spr	37	1	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Minh Ph­îng(10)	2	99999	10	0																						36	10	39	7	46	1							959	938	979	1181	1338	1301	285	226	10	130			2	9					
Minh Ph­îng Kh«ng Minh Phï	0	4	1	\spr\item\equip\nick\obj-neck31.spr	36	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(1)	3	99999	10	0																						36	10	39	8	46	1							959	858	978	1221	1001	1301	286	227	1	1692	1279		2	9					
Minh Ph­îng Kh«ng Minh Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap34.spr	28	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(2)	4	99999	10	0	30	360	360	31	85	85																36	10	39	8	46	1							960	898	979	1181	1338	3559	286	227	2	1756	1279		2	9					
Minh Ph­îng Kh«ng Minh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(3)	0	99999	10	0																						36	10	39	8	46	1							959	878	978	1021	1338	1301	286	227	3	130			2	9					
Minh Ph­îng Kh«ng Minh Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle32.spr	34	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(4)	2	99999	10	0	30	135	135	31	80	80																36	10	39	8	46	1							960	918	979	1201	1338	1301	286	227	4	1756	1279		2	9					
Minh Ph­îng Kh«ng Minh Ph¸p §¸i	0	6	1	\spr\item\equip\sash\obj-sash32.spr	33	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(5)	1	99999	10	0	30	160	160	31	80	80																36	10	39	8	46	1							960	938	978	1021	1338	1301	286	227	5	1693	1279		2	9					
Minh Ph­îng Kh«ng Minh §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth34.spr	24	2	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(6)	3	99999	10	0	30	720	720	31	90	90																36	10	39	8	46	1							960	858	978	1221	2724	3559	286	227	6	1756	2838		2	9					
Minh Ph­îng Kh«ng Minh KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword28.spr	9	1	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	10	39	8	46	1							2719	898	1161	1181	1340	3559	286	227	7	1756	130		2	9					
Minh Ph­îng Kh«ng Minh Lý	0	5	0	\spr\item\equip\boots\obj-shoes36.spr	26	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(8)	0	99999	10	0	30	160	160	31	80	80																36	10	39	8	46	1							960	878	978	1021	1261	1301	286	227	8	1694	1279		2	9					
Minh Ph­îng Kh«ng Minh Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist32.spr	36	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(9)	2	99999	10	0																						36	10	39	8	46	1							959	918	979	1201	1338	1301	286	227	9	1756	1422		2	9					
Minh Ph­îng Kh«ng Minh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Minh Ph­îng(10)	1	99999	10	0																						36	10	39	8	46	1							959	938	979	1021	1338	1301	286	227	10	130			2	9					
Minh Ph­îng Bång Lai Phï	0	4	1	\spr\item\equip\nick\obj-neck31.spr	36	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(1)	0	99999	10	0																						36	10	39	8	46	1							959	858	978	1221	1001	1301	287	228	1	1696	1279		2	9					
Minh Ph­îng Bång Lai Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap34.spr	28	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(2)	2	99999	10	0	30	360	360	31	85	85																36	10	39	8	46	1							960	898	979	1181	1338	3559	287	228	2	1756	1279		2	9					
Minh Ph­îng Bång Lai Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(3)	1	99999	10	0																						36	10	39	8	46	1							959	878	978	1021	1338	1301	287	228	3	130			2	9					
Minh Ph­îng Bång Lai Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle32.spr	34	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(4)	3	99999	10	0	30	135	135	31	80	80																36	10	39	8	46	1							960	918	979	1201	1338	1301	287	228	4	1756	1423		2	9					
Minh Ph­îng Bång Lai Ph¸p §¸i	0	6	0	\spr\item\equip\sash\obj-sash32.spr	32	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(5)	4	99999	10	0	30	160	160	31	80	80																36	10	39	8	46	1							960	938	978	1021	1338	1301	287	228	5	1697	1279		2	9					
Minh Ph­îng Bång Lai §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth34.spr	24	2	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(6)	0	99999	10	0	30	720	720	31	90	90																36	10	39	8	46	1							960	858	978	1221	2724	3559	287	228	6	1756	2839		2	9					
Minh Ph­îng Bång Lai KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword30.spr	9	1	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(7)	2	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	10	39	8	46	1							2715	898	1082	1181	1323	3559	287	228	7	1756	130		2	9					
Minh Ph­îng Bång Lai Lý	0	5	0	\spr\item\equip\boots\obj-shoes36.spr	26	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(8)	1	99999	10	0	30	160	160	31	80	80																36	10	39	8	46	1							960	878	978	1021	1261	1301	287	228	8	1756	1279		2	9					
Minh Ph­îng Bång Lai Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist32.spr	36	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(9)	3	99999	10	0																						36	10	39	8	46	1							959	918	979	1201	1338	1301	287	228	9	1698	1279		2	9					
Minh Ph­îng Bång Lai H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Minh Ph­îng(10)	4	99999	10	0																						36	10	39	8	46	1							959	938	979	1021	1338	1301	287	228	10	130			2	9					
Minh Ph­îng Cöu Thiªn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck31.spr	36	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(1)	0	99999	10	0																						36	10	39	9	46	1							959	858	978	1021	1001	1301	288	229	1	1700	1279		2	9					
Minh Ph­îng Cöu Thiªn §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap35.spr	28	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(2)	2	99999	10	0	30	360	360	31	85	85																36	10	39	9	46	1							960	898	979	1201	1338	3564	288	229	2	1431	1279		2	9					
Minh Ph­îng Cöu Thiªn Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(3)	1	99999	10	0																						36	10	39	9	46	1							959	878	978	1021	1338	1301	288	229	3	130			2	9					
Minh Ph­îng Cöu Thiªn Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle32.spr	34	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(4)	3	99999	10	0	30	135	135	31	80	80																36	10	39	9	46	1							960	918	979	1221	1338	1301	288	229	4	1431	1424		2	9					
Minh Ph­îng Cöu Thiªn Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash32.spr	33	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(5)	4	99999	10	0	30	160	160	31	80	80																36	10	39	9	46	1							960	938	978	1181	1338	1301	288	229	5	1701	1279		2	9					
Minh Ph­îng Cöu Thiªn §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth35.spr	24	2	3	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(6)	0	99999	10	0	30	720	720	31	90	90																36	10	39	9	46	1							960	858	978	1021	2724	3564	288	229	6	1431	2840		2	9					
Minh Ph­îng Cöu Thiªn Hµn ThiÕt	0	0	1	\spr\item\equip\closeweapon\obj-blade32.spr	10	1	4	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	10	39	9	46	1							2716	898	1082	1201	1323	3564	288	229	7	1431	130		2	9					
Minh Ph­îng Cöu Thiªn Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes37.spr	26	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(8)	1	99999	10	0	30	160	160	31	80	80																36	10	39	9	46	1							960	878	978	1021	1261	1301	288	229	8	1431	1279		2	9					
Minh Ph­îng Cöu Thiªn Béi	0	9	1	\spr\item\equip\waist\obj-waist32.spr	36	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(9)	3	99999	10	0																						36	10	39	9	46	1							959	918	979	1221	1338	1301	288	229	9	1702	1279		2	9					
Minh Ph­îng Cöu Thiªn H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(10)	4	99999	10	0																						36	10	39	9	46	1							959	938	979	1181	1338	1301	288	229	10	130			2	9					
Minh Ph­îng Tham Th­¬ng Phï	0	4	1	\spr\item\equip\nick\obj-neck31.spr	36	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(1)	3	99999	10	0																						36	10	39	9	46	1							959	858	978	1021	1001	1301	289	230	1	1704	1279		2	9					
Minh Ph­îng Tham Th­¬ng §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap35.spr	28	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(2)	4	99999	10	0	30	360	360	31	85	85																36	10	39	9	46	1							960	898	979	1201	1338	3564	289	230	2	1431	1279		2	9					
Minh Ph­îng Tham Th­¬ng Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(3)	0	99999	10	0																						36	10	39	9	46	1							959	878	978	1021	1338	1301	289	230	3	130			2	9					
Minh Ph­îng Tham Th­¬ng Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle32.spr	34	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(4)	2	99999	10	0	30	135	135	31	80	80																36	10	39	9	46	1							960	918	979	1221	1338	1301	289	230	4	1431	1425		2	9					
Minh Ph­îng Tham Th­¬ng Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash32.spr	32	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(5)	1	99999	10	0	30	160	160	31	80	80																36	10	39	9	46	1							960	938	978	1181	1338	1301	289	230	5	1705	1279		2	9					
Minh Ph­îng Tham Th­¬ng §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth35.spr	24	2	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(6)	3	99999	10	0	30	720	720	31	90	90																36	10	39	9	46	1							960	858	978	1021	2724	3564	289	230	6	1431	2841		2	9					
Minh Ph­îng Tham Th­¬ng KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword29.spr	9	1	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	10	39	9	46	1							2720	898	1161	1201	1340	3564	289	230	7	1431	130		2	9					
Minh Ph­îng Tham Th­¬ng Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes37.spr	26	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(8)	0	99999	10	0	30	160	160	31	80	80																36	10	39	9	46	1							960	878	978	1021	1261	1301	289	230	8	1431	1279		2	9					
Minh Ph­îng Tham Th­¬ng Béi	0	9	1	\spr\item\equip\waist\obj-waist32.spr	36	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(9)	2	99999	10	0																						36	10	39	9	46	1							959	918	979	1221	1338	1301	289	230	9	1706	1279		2	9					
Minh Ph­îng Tham Th­¬ng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(10)	1	99999	10	0																						36	10	39	9	46	1							959	938	979	1181	1338	1301	289	230	10	130			2	9					
§»ng Long Bå §Ò Ch©u Liªn	0	4	1	\spr\item\equip\nick\obj-neck27.spr	36	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(1)	2	99999	10	0																						36	10	39	0	46	1							961	939	979	3927	1002	1302	290	231	1	2543	1280		2	10					
§»ng Long Bå §Ò T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap28.spr	28	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(2)	1	99999	10	0	30	360	360	31	85	85																36	10	39	0	46	1							961	859	980	1022	1339	3524	290	231	2	2351	2819		2	10					
§»ng Long Bå §Ò Kim ThiÒn ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(3)	3	99999	10	0																						36	10	39	0	46	1							961	899	979	3928	1339	1302	290	231	3	130			2	10					
§»ng Long Bå §Ò Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle28.spr	34	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(4)	4	99999	10	0	30	135	135	31	80	80																36	10	39	0	46	1							961	879	980	1022	1339	1302	290	231	4	2351	1280		2	10					
§»ng Long Bå §Ò Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash28.spr	33	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(5)	0	99999	10	0	30	160	160	31	80	80																36	10	39	0	46	1							961	919	979	3929	1339	1302	290	231	5	2544	1280		2	10					
§»ng Long Bå §Ò Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth28.spr	22	2	3	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(6)	2	99999	10	0	30	720	720	31	90	90																36	10	39	0	46	1							961	939	979	3927	2725	3524	290	231	6	2351	494		2	10					
§»ng Long Bå §Ò TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove05.spr	9	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(7)	1	99999	10	0	28	1	1	29	1	1	167	-30	-30	31	99	99										36	10	39	0	46	1							1282	859	1083	1022	1339	3524	290	231	7	2351	130		2	10					
§»ng Long Bå §Ò T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes28.spr	26	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(8)	3	99999	10	0	30	160	160	31	80	80																36	10	39	0	46	1							961	899	979	3928	1262	1302	290	231	8	2351	1280		2	10					
§»ng Long Bå §Ò Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist28.spr	36	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(9)	4	99999	10	0																						36	10	39	0	46	1							961	879	980	1022	1339	1302	290	231	9	2545	1280		2	10					
§»ng Long Bå §Ò HuyÒn Trang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(10)	0	99999	10	0																						36	10	39	0	46	1							961	919	980	3929	1339	1302	290	231	10	130			2	10					
§»ng Long Nh­ Lai PhËt Ch©u	0	4	1	\spr\item\equip\nick\obj-neck27.spr	36	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(1)	4	99999	10	0																						36	10	39	0	46	1							961	939	979	3927	1002	1302	291	232	1	2546	1280		2	10					
§»ng Long Nh­ Lai T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap28.spr	28	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(2)	0	99999	10	0	30	360	360	31	85	85																36	10	39	0	46	1							961	859	980	1022	1339	3524	291	232	2	2351	1280		2	10					
§»ng Long Nh­ Lai §¹i Tõ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(3)	2	99999	10	0																						36	10	39	0	46	1							961	899	979	3928	1339	1302	291	232	3	130			2	10					
§»ng Long Nh­ Lai Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle28.spr	34	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(4)	1	99999	10	0	30	135	135	31	80	80																36	10	39	0	46	1							961	879	980	1022	1339	1302	291	232	4	2351	1280		2	10					
§»ng Long Nh­ Lai Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash28.spr	33	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(5)	3	99999	10	0	30	160	160	31	80	80																36	10	39	0	46	1							961	919	979	3929	1339	1302	291	232	5	2547	1280		2	10					
§»ng Long Nh­ Lai Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth28.spr	22	2	3	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(6)	4	99999	10	0	30	720	720	31	90	90																36	10	39	0	46	1							961	939	979	3927	2725	3524	291	232	6	2351	2820		2	10					
§»ng Long Nh­ Lai Ph¸p C«n 	0	0	2	\spr\item\equip\closeweapon\obj-spear25.spr	11	1	4	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(7)	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	10	39	0	46	1							2715	859	1083	1022	1339	3524	291	232	7	2351	130		2	10					
§»ng Long Nh­ Lai T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes28.spr	26	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(8)	2	99999	10	0	30	160	160	31	80	80																36	10	39	0	46	1							961	899	979	3928	1262	1302	291	232	8	2351	2323		2	10					
§»ng Long Nh­ Lai Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist28.spr	36	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(9)	1	99999	10	0																						36	10	39	0	46	1							961	879	980	1022	1339	1302	291	232	9	2548	1280		2	10					
§»ng Long Nh­ Lai §¹i Bi ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(10)	3	99999	10	0																						36	10	39	0	46	1							961	919	980	3929	1339	1302	291	232	10	130			2	10					
§»ng Long V« L­îng H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck27.spr	36	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(1)	4	99999	10	0																						36	10	39	0	46	1							961	939	979	3927	1002	1302	292	233	1	2546	1280		2	10					
§»ng Long V« L­îng T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap28.spr	28	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(2)	0	99999	10	0	30	360	360	31	85	85																36	10	39	0	46	1							961	859	980	1022	1339	3524	292	233	2	2351	1280		2	10					
§»ng Long V« L­îng §¹i Thõa ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(3)	2	99999	10	0																						36	10	39	0	46	1							961	899	979	3928	1339	1302	292	233	3	130			2	10					
§»ng Long V« L­îng Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle28.spr	34	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(4)	1	99999	10	0	30	135	135	31	80	80																36	10	39	0	46	1							961	879	980	1022	1339	1302	292	233	4	2351	2324		2	10					
§»ng Long V« L­îng Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash28.spr	33	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(5)	3	99999	10	0	30	160	160	31	80	80																36	10	39	0	46	1							961	919	979	3929	1339	1302	292	233	5	2549	1280		2	10					
§»ng Long V« L­îng Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth28.spr	22	2	3	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(6)	4	99999	10	0	30	720	720	31	90	90																36	10	39	0	46	1							961	939	979	3927	2725	3524	292	233	6	2351	2821		2	10					
§»ng Long V« L­îng Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade27.spr	10	1	4	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	10	39	0	46	1							2715	859	1083	1022	1339	3524	292	233	7	2351	130		2	10					
§»ng Long V« L­îng T¨ng Hµi	0	5	1	\spr\item\equip\boots\obj-shoes28.spr	26	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(8)	2	99999	10	0	30	160	160	31	80	80																36	10	39	0	46	1							961	899	979	3928	1262	1302	292	233	8	2351	1280		2	10					
§»ng Long V« L­îng Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist28.spr	36	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(9)	1	99999	10	0																						36	10	39	0	46	1							961	879	980	1022	1339	1302	292	233	9	2550	1280		2	10					
